date,meal,food,calories,carbohydrates,fat,protein,sodium,sugar
2020-5-21,snacks,"Nestle Tollhouse - Chocolate Chip Cookie, 3 cookie",240.0,33.0,12.0,3.0,195.0,21.0
2020-5-21,snacks,"Kroger - Deluxe Artisan Vanilla Bean Ice Cream, 0.25 cup (65g)",65.0,8.0,4.0,1.0,30.0,7.0
2020-5-22,lunch,"Pizza Hut - Medium Pepperonni Pan Pizza, 4 slice",880.0,100.0,360.0,36.0,2000.0,4.0
2020-5-22,dinner,"Chicken Thigh - Chicken Thigh Baked With Skin, 100 grams",247.0,0.0,16.0,25.0,84.0,0.0
2020-5-22,snacks,"Generic - Quinoa Crack, 1 ounce",115.0,18.0,2.0,4.0,0.0,1.0
2020-5-22,snacks,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-22,snacks,"Nestle Tollhouse - Chocolate Chip Cookie, 1 cookie",80.0,11.0,4.0,1.0,65.0,7.0
2020-5-22,snacks,"Dairy Pure - Fat Free Milk, 120 ml",45.0,7.0,0.0,4.0,65.0,6.0
2020-5-22,snacks,"Kroger - Deluxe Artisan Vanilla Bean Ice Cream, 1 cup (65g)",260.0,32.0,14.0,4.0,120.0,26.0
2020-5-23,breakfast,"pbj, 1 serving(s)",305.0,49.0,8.0,10.0,415.0,15.0
2020-5-23,lunch,"Wendy's - Chicken 4 for $4, 1 wrap",940.0,33.0,16.0,14.0,600.0,4.0
2020-5-23,lunch,"Coke - Coke, 12 oz",140.0,39.0,0.0,0.0,45.0,39.0
2020-5-23,dinner,"Tortillaland - Tortilla, 1 tortilla",140.0,23.0,4.0,3.0,210.0,0.0
2020-5-23,dinner,"Kirkland Signature (Costco) - Mexican Style Blend Cheese, 0.33 cup (28g)",110.0,1.0,9.0,7.0,170.0,0.0
2020-5-23,dinner,"Chicken Thigh - Chicken Thigh Baked With Skin, 100 grams",247.0,0.0,16.0,25.0,84.0,0.0
2020-5-23,dinner,"Generic - Quinoa Crack, 1 ounce",115.0,18.0,2.0,4.0,0.0,1.0
2020-5-23,snacks,"Chicken Thigh - Chicken Thigh Baked With Skin, 100 grams",247.0,0.0,16.0,25.0,84.0,0.0
2020-5-24,lunch,"Tortillaland - Tortilla, 2 tortilla",280.0,46.0,8.0,6.0,420.0,0.0
2020-5-24,lunch,"Kirkland Signature (Costco) - Mexican Style Blend Cheese, 0.33 cup (28g)",110.0,1.0,9.0,7.0,170.0,0.0
2020-5-24,lunch,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-24,dinner,"Olive Garden - Bread Stick, 1 stick",140.0,26.0,2.0,5.0,370.0,0.0
2020-5-24,dinner,"Food Lion Tater Tots - Tater Tots, 13.5 Pieces",195.0,27.0,11.0,3.0,375.0,3.0
2020-5-24,dinner,"Generic- Chicken Breast - Chicken Breast, 6 oz",282.0,0.0,6.0,54.0,128.0,0.0
2020-5-24,dinner,"Pork - Pork Tenderloin, 4 oz",120.0,1.0,3.0,23.0,60.0,1.0
2020-5-24,snacks,"Crumbl - Chocolate Chip Cookie, 2.75 oz",380.0,44.0,22.0,4.0,267.0,25.0
2020-5-24,snacks,"Mars Candy - Peanut M&m's, 12 pieces (28g)",140.0,17.0,7.0,3.0,15.0,15.0
